model,cv_fold,mae,rmse_recursive,rmse_1day,r2_1day,r2_recursive,lag_n
teacher_forcing (hidden=16),1,0.3473711907863617,0.8992272840013373,0.6728009581565857,0.14994919300079346,-0.4900643776179856,7
teacher_forcing (hidden=16),2,0.16875730454921722,0.6949517132878373,0.38444846868515015,0.8134123682975769,0.4067486804147882,7
teacher_forcing (hidden=16),3,0.10911011695861816,0.4603492060092822,0.20520448684692383,0.9151323437690735,0.5127396553548328,7
teacher_forcing (hidden=16),4,0.10877317190170288,0.7014024908193826,0.2793794274330139,0.9061856269836426,0.40188941273942,7
teacher_forcing (hidden=32),1,0.2929052412509918,0.8375399371855478,0.5756848454475403,0.37764060497283936,-0.29263863215898755,7
teacher_forcing (hidden=32),2,0.1551036834716797,0.7710701072699079,0.3714864253997803,0.8257822394371033,0.2696732860385853,7
teacher_forcing (hidden=32),3,0.09799811989068985,0.44809739238444984,0.18827049434185028,0.9285613894462585,0.5383305845927389,7
teacher_forcing (hidden=32),4,0.10242903977632523,0.630618419961149,0.2707279622554779,0.9119058847427368,0.5165181374538075,7
fine_tuned (hidden=32),1,0.16412514448165894,0.9710345793105025,0.3165874779224396,0.8117828369140625,-0.7375426457973862,7
fine_tuned (hidden=32),2,0.4467102587223053,1.072030660694375,0.8483316898345947,0.09147286415100098,-0.4117047182654028,7
fine_tuned (hidden=32),3,0.2406037449836731,1.1180892054506022,0.547523021697998,0.3958103060722351,-1.8743468946747641,7
fine_tuned (hidden=32),4,0.4809074103832245,1.1309841578156634,0.9178075790405273,-0.0124741792678833,-0.5551057443903782,7
scheduled_sampling (hidden=32),1,0.2594962418079376,0.9103794810166994,0.5637302994728088,0.4032197594642639,-0.5272530543507465,7
scheduled_sampling (hidden=32),2,0.24772107601165771,0.7038477379711213,0.4705236554145813,0.7205079793930054,0.3914631369069458,7
scheduled_sampling (hidden=32),3,0.16395801305770874,0.6104293808988399,0.28422486782073975,0.8371856212615967,0.14324405118928796,7
scheduled_sampling (hidden=32),4,0.1672230064868927,0.7725440509855265,0.38481348752975464,0.8220158815383911,0.2744064934294975,7
