series,species,site,series_no,site_name,site_longitude,site_latitude,site_easting,site_northing,mch_ind_closest,mch_easting,mch_northing,mch_elevation,mch_site_eucldist,species_site
1011,Pinus sylvestris,Pfynwald-Irrigation,32,Pfynwald-Irrigation,7.61157,46.30183,2613323.36590174,1127839.18137944,26718,2613304.91114832,1128174.19368295,603.265575408936,335.520225063447,Pinus sylvestris_Pfynwald-Irrigation
1114,Fagus sylvatica,Saillon-A860,33,Saillon-A860,7.16542,46.17113,2578898.28478177,1113332.33832485,19762,2579191.0819866,1113715.73515379,1024.64057540894,482.414066539871,Fagus sylvatica_Saillon-A860
1169,Fagus sylvatica,Schaenis-low,34,Schaenis-low,9.06654,47.16573,2723422.0327293,1225142.83719305,49650,2723936.16796465,1225214.24444927,1050.89057540894,519.070357917269,Fagus sylvatica_Schaenis-low
1180,Picea abies,Schmitten-Forest,35,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1181,Picea abies,Schmitten-Forest,36,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1182,Picea abies,Schmitten-Forest,37,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1183,Picea abies,Schmitten-Forest,38,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1184,Picea abies,Schmitten-Forest,39,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1186,Picea abies,Schmitten-Forest,40,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1187,Picea abies,Schmitten-Forest,41,Schmitten-Forest,9.66422,46.68823,2770231.2056725,1173193.16326186,58562,2770264.1085018,1173336.22522014,1373.26557540894,146.796866737579,Picea abies_Schmitten-Forest
1232,Fagus sylvatica,Sihlwald-Forest,42,Sihlwald-Forest,8.56111,47.25056,2684970.55278437,1233901.35772386,41819,2684596.96425801,1233941.39045159,722.265575408936,375.727303128368,Fagus sylvatica_Sihlwald-Forest
