ts,twd,pr,at,ws,dp,sr,lr,series,site_name,species,series_no,Wt,year,month,year_month
2020-01-01,0.0,-4.96705373128255e-09,0.684757486979208,1.19718607763449,-3.64021402994791,62.2915903727214,212.325577418009,series_06,Bachtel-Forest,Fagus sylvatica,1,,2020,1,2020-01
2020-01-02,0.121408294501398,-1.09275182088216e-07,0.213087972005212,1.31233788297201,-4.03630167643229,60.9238996505737,219.828020731608,series_06,Bachtel-Forest,Fagus sylvatica,1,0.121408294501398,2020,1,2020-01
2020-01-03,0.118271109040075,0.128576708336671,2.00985107421877,2.1159506564339,-0.953910573323526,55.8597081502279,275.925155639648,series_06,Bachtel-Forest,Fagus sylvatica,1,-0.0031371854613230082,2020,1,2020-01
2020-01-04,0.0,0.0992712179819743,1.57327804565432,3.24739820261796,0.721803283691429,13.9148323138555,311.878968556722,series_06,Bachtel-Forest,Fagus sylvatica,1,-0.118271109040075,2020,1,2020-01
2020-01-05,0.0,-1.98682149251302e-08,-0.442240142822243,2.15994102259477,-4.09412485758463,62.6205155054728,216.038632074992,series_06,Bachtel-Forest,Fagus sylvatica,1,0.0,2020,1,2020-01
2020-01-06,0.0,3.88051072756449e-10,1.90086517333987,1.47922560820977,-5.47283655802408,63.5727411905924,220.306781768799,series_06,Bachtel-Forest,Fagus sylvatica,1,0.0,2020,1,2020-01
2020-01-07,0.593406337371855,0.0241142945984999,1.48021596272787,2.51412020623684,-1.10557149251298,26.0145364602407,265.315427144368,series_06,Bachtel-Forest,Fagus sylvatica,1,0.593406337371855,2020,1,2020-01
2020-01-08,0.557186812674744,-6.45716985066732e-07,3.14070027669271,2.09982888400555,-7.22488123575846,48.4640337626139,265.264362335205,series_06,Bachtel-Forest,Fagus sylvatica,1,-0.03621952469711098,2020,1,2020-01
2020-01-09,0.91814165890028,-1.18215878804525e-06,5.11999918619796,1.63101729998986,-5.25170618693033,58.3836738665899,248.506977081299,series_06,Bachtel-Forest,Fagus sylvatica,1,0.360954846225536,2020,1,2020-01
2020-01-10,1.2695091332712,0.005132516225179,3.65580266316732,3.02298402041197,-0.587911987304665,39.215076893568,289.792322794596,series_06,Bachtel-Forest,Fagus sylvatica,1,0.3513674743709201,2020,1,2020-01
2020-01-11,0.648796225535881,0.019446784319977,2.09620691935226,1.33479967309783,0.697812652587913,62.6947637498379,260.079730987549,series_06,Bachtel-Forest,Fagus sylvatica,1,-0.6207129077353191,2020,1,2020-01
2020-01-12,0.578751491146319,9.9341074625651e-09,0.684849039713583,1.86491139233112,-2.24529876708982,61.8436142380039,235.801093419393,series_06,Bachtel-Forest,Fagus sylvatica,1,-0.07004473438956205,2020,1,2020-01
2020-01-13,0.597631407269338,2.58286794026693e-07,2.20648600260421,1.38222815220555,-4.47224655151365,62.8532463163137,224.024820327759,series_06,Bachtel-Forest,Fagus sylvatica,1,0.01887991612301909,2020,1,2020-01
2020-01-14,0.745393056849953,-3.27825546264648e-07,3.17248942057296,1.73794137934844,-5.29623260498045,63.3869721641143,252.099938710531,series_06,Bachtel-Forest,Fagus sylvatica,1,0.147761649580615,2020,1,2020-01
